51137,869695,Escherichia coli 900105 (10e),Escherichia,Escherichia coli,,

51095,869674,Escherichia coli 95.0941,Escherichia,Escherichia coli,,

51087,869670,Escherichia coli 97.0246,Escherichia,Escherichia coli,,

51091,869672,Escherichia coli 97.0259,Escherichia,Escherichia coli,,

51099,869676,Escherichia coli 97.0264,Escherichia,Escherichia coli,,

51103,869678,Escherichia coli 99.0741,Escherichia,Escherichia coli,,

38905,550672,Escherichia coli B088,Escherichia,Escherichia coli,,

38915,550676,Escherichia coli B185,Escherichia,Escherichia coli,,

38917,550677,Escherichia coli B354,Escherichia,Escherichia coli,,

51135,869694,Escherichia coli B41,Escherichia,Escherichia coli,,

15572,340184,Escherichia coli B7A,Escherichia,Escherichia coli,,

15578,340186,Escherichia coli E110019,Escherichia,Escherichia coli,,

38941,656372,Escherichia coli E1167,Escherichia,Escherichia coli,,

40269,670894,Escherichia coli E128010,Escherichia,Escherichia coli,,

38945,656374,Escherichia coli E1520,Escherichia,Escherichia coli,,

15577,340185,Escherichia coli E22,Escherichia,Escherichia coli,Escherichia coli O103:H2,

38949,550687,Escherichia coli E482,Escherichia,Escherichia coli,,

61479,945434,Escherichia coli EC4100B,Escherichia,Escherichia coli,,

40267,670893,Escherichia coli EPECa14,Escherichia,Escherichia coli,,

15576,340197,Escherichia coli F11,Escherichia,Escherichia coli,,

39915,656379,Escherichia coli FVEC1302,Escherichia,Escherichia coli,,

39917,656380,Escherichia coli FVEC1412,Escherichia,Escherichia coli,,

38971,656383,Escherichia coli H120,Escherichia,Escherichia coli,,

38981,656388,Escherichia coli H252,Escherichia,Escherichia coli,,

38985,656390,Escherichia coli H263,Escherichia,Escherichia coli,,

38991,656393,Escherichia coli H299,Escherichia,Escherichia coli,,

39013,656404,Escherichia coli H489,Escherichia,Escherichia coli,,

39021,656408,Escherichia coli H591,Escherichia,Escherichia coli,,

39033,656414,Escherichia coli H736,Escherichia,Escherichia coli,,

51111,869682,Escherichia coli JB1-95,Escherichia,Escherichia coli,,

40261,670890,Escherichia coli LT-68,Escherichia,Escherichia coli,,

39039,656417,Escherichia coli M605,Escherichia,Escherichia coli,,

39043,656419,Escherichia coli M718,Escherichia,Escherichia coli,,

39045,656420,Escherichia coli M863,Escherichia,Escherichia coli,,

40713,679207,Escherichia coli MS 107-1,Escherichia,Escherichia coli,,

47225,749536,Escherichia coli MS 110-3,Escherichia,Escherichia coli,,

47227,749537,Escherichia coli MS 115-1,Escherichia,Escherichia coli,,

47229,749538,Escherichia coli MS 116-1,Escherichia,Escherichia coli,,

47231,749539,Escherichia coli MS 117-3,Escherichia,Escherichia coli,,

40709,679206,Escherichia coli MS 119-7,Escherichia,Escherichia coli,,

40707,679205,Escherichia coli MS 124-1,Escherichia,Escherichia coli,,

40703,679204,Escherichia coli MS 145-7,Escherichia,Escherichia coli,,

47241,749540,Escherichia coli MS 146-1,Escherichia,Escherichia coli,,

47257,749541,Escherichia coli MS 153-1,Escherichia,Escherichia coli,,

47259,749542,Escherichia coli MS 16-3,Escherichia,Escherichia coli,,

47263,749544,Escherichia coli MS 175-1,Escherichia,Escherichia coli,,

47265,749545,Escherichia coli MS 182-1,Escherichia,Escherichia coli,,

47267,749546,Escherichia coli MS 185-1,Escherichia,Escherichia coli,,

47269,749547,Escherichia coli MS 187-1,Escherichia,Escherichia coli,,

47271,749548,Escherichia coli MS 196-1,Escherichia,Escherichia coli,,

47273,749549,Escherichia coli MS 198-1,Escherichia,Escherichia coli,,

47275,749550,Escherichia coli MS 200-1,Escherichia,Escherichia coli,,

47205,749527,Escherichia coli MS 21-1,Escherichia,Escherichia coli,,

