GPID	Contigs	Name						Status	
27733	W	Escherichia coli O157:H7 str. EC4045		draft		
27745	W	Escherichia coli O157:H7 str. EC4076		draft		
42813	W	Escherichia coli O157:H7 str. EC4084		draft		
27743	W	Escherichia coli O157:H7 str. EC4113		draft		
42815	W	Escherichia coli O157:H7 str. EC4127		draft		
42817	W	Escherichia coli O157:H7 str. EC4191		draft		
42811	W	Escherichia coli O157:H7 str. EC4192		draft		
27741	W	Escherichia coli O157:H7 str. EC4196		draft		
42819	W	Escherichia coli O157:H7 str. EC4205		draft		
27735	W	Escherichia coli O157:H7 str. EC4206		draft		
27749	W	Escherichia coli O157:H7 str. EC4401		draft		
27751	W	Escherichia coli O157:H7 str. EC4486		draft		
27753	W	Escherichia coli O157:H7 str. EC4501		draft		
27755	W	Escherichia coli O157:H7 str. EC508		draft		
42821	W	Escherichia coli O157:H7 str. EC536		draft		
27757	W	Escherichia coli O157:H7 str. EC869		draft		
36543	W	Escherichia coli O157:H7 str. FRIK2000		draft		
32275	W	Escherichia coli O157:H7 str. FRIK966		draft		
60057	W	Escherichia coli O157:H7 str. G5101		draft	
60067	W	Escherichia coli O157:H7 str. LSU-61		draft
28847	W	Escherichia coli O157:H7 str. TW14588		draft			
60063	W	Escherichia coli O55:H7 str. 3256-97		draft		
60065	W	Escherichia coli O55:H7 str. USDA 5905		draft		
41499	W	Escherichia coli OP50	     	  		draft		
40279	W	Escherichia coli RN587/1			draft		
48269	W	Escherichia coli STEC_7v			draft	
51747	W	Escherichia coli str. K-12 substr. MG1655star	draft		
39063	W	Escherichia coli TA007	   	   		draft		
39079	W	Escherichia coli TA143				draft		
39085	W	Escherichia coli TA206				draft		
39091	W	Escherichia coli TA271				draft	
39093	W	Escherichia coli TA280				draft		
51133	W	Escherichia coli TW07793			draft	
39103	W	Escherichia coli TW10509			draft		
59743	W	Escherichia coli TW10598			draft	
59745	W	Escherichia coli TW10722			draft		
59747	W	Escherichia coli TW10828			draft	
59749	W	Escherichia coli TW11681			draft		
59751	W	Escherichia coli TW14425			draft	
42709	W	Escherichia coli W				draft		
61477	W	Escherichia coli WV_060327			draft		
60773	W	Shigella boydii ATCC 9905			draft	
16194	W	Shigella dysenteriae 1012			draft		
48263	W	Shigella dysenteriae 1617			draft
60771	W	Shigella dysenteriae CDC 74-1112		draft		
48255	W	Shigella flexneri 2a str. 2457T			draft	
60775	W	Shigella flexneri CDC 796-83			draft		
48265	W	Shigella sonnei 53G   				draft		

